kode_prov;nama_prov;kode_kab;nama_kab
19;KEPULAUAN BANGKA BELITUNG;1901;KAB. BANGKA
19;KEPULAUAN BANGKA BELITUNG;1902;KAB. BELITUNG
19;KEPULAUAN BANGKA BELITUNG;1903;KAB. BANGKA SELATAN
19;KEPULAUAN BANGKA BELITUNG;1904;KAB. BANGKA TENGAH
19;KEPULAUAN BANGKA BELITUNG;1905;KAB. BANGKA BARAT
19;KEPULAUAN BANGKA BELITUNG;1906;KAB. BELITUNG TIMUR
19;KEPULAUAN BANGKA BELITUNG;1971;KOTA PANGKAL PINANG
21;KEPULAUAN RIAU;2101;KAB. BINTAN
21;KEPULAUAN RIAU;2102;KAB. KARIMUN
21;KEPULAUAN RIAU;2103;KAB. NATUNA
21;KEPULAUAN RIAU;2104;KAB. LINGGA
21;KEPULAUAN RIAU;2105;KAB. KEPULAUAN ANAMBAS
21;KEPULAUAN RIAU;2171;KOTA BATAM
21;KEPULAUAN RIAU;2172;KOTA TANJUNG PINANG
31;DKI JAKARTA;3101;KAB. ADM. KEP. SERIBU
31;DKI JAKARTA;3171;KOTA ADM. JAKARTA PUSAT
31;DKI JAKARTA;3172;KOTA ADM. JAKARTA UTARA
31;DKI JAKARTA;3173;KOTA ADM. JAKARTA BARAT
31;DKI JAKARTA;3174;KOTA ADM. JAKARTA SELATAN
31;DKI JAKARTA;3175;KOTA ADM. JAKARTA TIMUR
32;JAWA BARAT;3201;KAB. BOGOR
32;JAWA BARAT;3202;KAB. SUKABUMI
32;JAWA BARAT;3203;KAB. CIANJUR
32;JAWA BARAT;3204;KAB. BANDUNG
32;JAWA BARAT;3205;KAB. GARUT
32;JAWA BARAT;3206;KAB. TASIKMALAYA
32;JAWA BARAT;3207;KAB. CIAMIS
32;JAWA BARAT;3208;KAB. KUNINGAN
32;JAWA BARAT;3209;KAB. CIREBON
32;JAWA BARAT;3210;KAB. MAJALENGKA
32;JAWA BARAT;3211;KAB. SUMEDANG
32;JAWA BARAT;3212;KAB. INDRAMAYU
32;JAWA BARAT;3213;KAB. SUBANG
32;JAWA BARAT;3214;KAB. PURWAKARTA
32;JAWA BARAT;3215;KAB. KARAWANG
32;JAWA BARAT;3216;KAB. BEKASI
32;JAWA BARAT;3217;KAB. BANDUNG BARAT
32;JAWA BARAT;3218;KAB. PANGANDARAN
32;JAWA BARAT;3271;KOTA BOGOR
32;JAWA BARAT;3272;KOTA SUKABUMI
32;JAWA BARAT;3273;KOTA BANDUNG
32;JAWA BARAT;3274;KOTA CIREBON
32;JAWA BARAT;3275;KOTA BEKASI
32;JAWA BARAT;3276;KOTA DEPOK
32;JAWA BARAT;3277;KOTA CIMAHI
32;JAWA BARAT;3278;KOTA TASIKMALAYA
32;JAWA BARAT;3279;KOTA BANJAR
33;JAWA TENGAH;3301;KAB. CILACAP
33;JAWA TENGAH;3302;KAB. BANYUMAS
33;JAWA TENGAH;3303;KAB. PURBALINGGA
33;JAWA TENGAH;3304;KAB. BANJARNEGARA
33;JAWA TENGAH;3305;KAB. KEBUMEN
33;JAWA TENGAH;3306;KAB. PURWOREJO
33;JAWA TENGAH;3307;KAB. WONOSOBO
33;JAWA TENGAH;3308;KAB. MAGELANG
33;JAWA TENGAH;3309;KAB. BOYOLALI
33;JAWA TENGAH;3310;KAB. KLATEN
33;JAWA TENGAH;3311;KAB. SUKOHARJO
33;JAWA TENGAH;3312;KAB. WONOGIRI
33;JAWA TENGAH;3313;KAB. KARANGANYAR
33;JAWA TENGAH;3314;KAB. SRAGEN
33;JAWA TENGAH;3315;KAB. GROBOGAN
33;JAWA TENGAH;3316;KAB. BLORA
33;JAWA TENGAH;3317;KAB. REMBANG
33;JAWA TENGAH;3318;KAB. PATI
33;JAWA TENGAH;3319;KAB. KUDUS
33;JAWA TENGAH;3320;KAB. JEPARA
33;JAWA TENGAH;3321;KAB. DEMAK
33;JAWA TENGAH;3322;KAB. SEMARANG
33;JAWA TENGAH;3323;KAB. TEMANGGUNG
33;JAWA TENGAH;3324;KAB. KENDAL
33;JAWA TENGAH;3325;KAB. BATANG
33;JAWA TENGAH;3326;KAB. PEKALONGAN
33;JAWA TENGAH;3327;KAB. PEMALANG
33;JAWA TENGAH;3328;KAB. TEGAL
33;JAWA TENGAH;3329;KAB. BREBES
33;JAWA TENGAH;3371;KOTA MAGELANG
33;JAWA TENGAH;3372;KOTA SURAKARTA
33;JAWA TENGAH;3373;KOTA SALATIGA
33;JAWA TENGAH;3374;KOTA SEMARANG
33;JAWA TENGAH;3375;KOTA PEKALONGAN
33;JAWA TENGAH;3376;KOTA TEGAL
34;DAERAH ISTIMEWA YOGYAKARTA;3401;KAB. KULON PROGO
34;DAERAH ISTIMEWA YOGYAKARTA;3402;KAB. BANTUL
34;DAERAH ISTIMEWA YOGYAKARTA;3403;KAB. GUNUNGKIDUL
34;DAERAH ISTIMEWA YOGYAKARTA;3404;KAB. SLEMAN
34;DAERAH ISTIMEWA YOGYAKARTA;3471;KOTA YOGYAKARTA
35;JAWA TIMUR;3501;KAB. PACITAN
35;JAWA TIMUR;3502;KAB. PONOROGO
35;JAWA TIMUR;3503;KAB. TRENGGALEK
35;JAWA TIMUR;3504;KAB. TULUNGAGUNG
35;JAWA TIMUR;3505;KAB. BLITAR
35;JAWA TIMUR;3506;KAB. KEDIRI
35;JAWA TIMUR;3507;KAB. MALANG
35;JAWA TIMUR;3508;KAB. LUMAJANG
35;JAWA TIMUR;3509;KAB. JEMBER
35;JAWA TIMUR;3510;KAB. BANYUWANGI
35;JAWA TIMUR;3511;KAB. BONDOWOSO
35;JAWA TIMUR;3512;KAB. SITUBONDO
35;JAWA TIMUR;3513;KAB. PROBOLINGGO
35;JAWA TIMUR;3514;KAB. PASURUAN
35;JAWA TIMUR;3515;KAB. SIDOARJO
35;JAWA TIMUR;3516;KAB. MOJOKERTO
35;JAWA TIMUR;3517;KAB. JOMBANG
35;JAWA TIMUR;3518;KAB. NGANJUK
35;JAWA TIMUR;3519;KAB. MADIUN
35;JAWA TIMUR;3520;KAB. MAGETAN
35;JAWA TIMUR;3521;KAB. NGAWI
35;JAWA TIMUR;3522;KAB. BOJONEGORO
35;JAWA TIMUR;3523;KAB. TUBAN
35;JAWA TIMUR;3524;KAB. LAMONGAN
35;JAWA TIMUR;3525;KAB. GRESIK
35;JAWA TIMUR;3526;KAB. BANGKALAN
35;JAWA TIMUR;3527;KAB. SAMPANG
35;JAWA TIMUR;3528;KAB. PAMEKASAN
35;JAWA TIMUR;3529;KAB. SUMENEP
35;JAWA TIMUR;3571;KOTA KEDIRI
35;JAWA TIMUR;3572;KOTA BLITAR
35;JAWA TIMUR;3573;KOTA MALANG
35;JAWA TIMUR;3574;KOTA PROBOLINGGO
35;JAWA TIMUR;3575;KOTA PASURUAN
35;JAWA TIMUR;3576;KOTA MOJOKERTO
35;JAWA TIMUR;3577;KOTA MADIUN
35;JAWA TIMUR;3578;KOTA SURABAYA
35;JAWA TIMUR;3579;KOTA BATU
36;BANTEN;3603;KAB. TANGERANG
36;BANTEN;3601;KAB. PANDEGLANG
36;BANTEN;3602;KAB. LEBAK
36;BANTEN;3604;KAB. SERANG
36;BANTEN;3671;KOTA TANGERANG
36;BANTEN;3672;KOTA CILEGON
36;BANTEN;3673;KOTA SERANG
36;BANTEN;3674;KOTA TANGERANG SELATAN
51;BALI;5101;KAB. JEMBRANA
51;BALI;5102;KAB. TABANAN
51;BALI;5103;KAB. BADUNG
51;BALI;5104;KAB. GIANYAR
51;BALI;5105;KAB. KLUNGKUNG
51;BALI;5106;KAB. BANGLI
51;BALI;5107;KAB. KARANGASEM
51;BALI;5108;KAB. BULELENG
51;BALI;5171;KOTA DENPASAR
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR
52;NUSA TENGGARA BARAT;5204;KAB. SUMBAWA
52;NUSA TENGGARA BARAT;5205;KAB. DOMPU
52;NUSA TENGGARA BARAT;5206;KAB. BIMA
52;NUSA TENGGARA BARAT;5207;KAB. SUMBAWA BARAT
52;NUSA TENGGARA BARAT;5208;KAB. LOMBOK UTARA
52;NUSA TENGGARA BARAT;5271;KOTA MATARAM
52;NUSA TENGGARA BARAT;5272;KOTA BIMA
53;NUSA TENGGARA TIMUR;5301;KAB. KUPANG
53;NUSA TENGGARA TIMUR;5302;KAB. TIMOR TENGAH SELATAN
53;NUSA TENGGARA TIMUR;5303;KAB. TIMOR TENGAH UTARA
53;NUSA TENGGARA TIMUR;5304;KAB. BELU
53;NUSA TENGGARA TIMUR;5305;KAB. ALOR
53;NUSA TENGGARA TIMUR;5306;KAB. FLORES TIMUR
53;NUSA TENGGARA TIMUR;5307;KAB. SIKKA
53;NUSA TENGGARA TIMUR;5308;KAB. ENDE
53;NUSA TENGGARA TIMUR;5309;KAB. NGADA
53;NUSA TENGGARA TIMUR;5310;KAB. MANGGARAI
53;NUSA TENGGARA TIMUR;5311;KAB. SUMBA TIMUR
53;NUSA TENGGARA TIMUR;5312;KAB. SUMBA BARAT
53;NUSA TENGGARA TIMUR;5313;KAB. LEMBATA
53;NUSA TENGGARA TIMUR;5314;KAB. ROTE NDAO
53;NUSA TENGGARA TIMUR;5315;KAB. MANGGARAI BARAT
53;NUSA TENGGARA TIMUR;5316;KAB. NAGEKEO
53;NUSA TENGGARA TIMUR;5317;KAB. SUMBA TENGAH
53;NUSA TENGGARA TIMUR;5318;KAB. SUMBA BARAT DAYA
53;NUSA TENGGARA TIMUR;5319;KAB. MANGGARAI TIMUR
53;NUSA TENGGARA TIMUR;5320;KAB. SABU RAIJUA
53;NUSA TENGGARA TIMUR;5321;KAB. MALAKA
53;NUSA TENGGARA TIMUR;5371;KOTA KUPANG
61;KALIMANTAN BARAT;6101;KAB. SAMBAS
61;KALIMANTAN BARAT;6102;KAB. MEMPAWAH
61;KALIMANTAN BARAT;6103;KAB. SANGGAU
61;KALIMANTAN BARAT;6104;KAB. KETAPANG
61;KALIMANTAN BARAT;6105;KAB. SINTANG
61;KALIMANTAN BARAT;6106;KAB. KAPUAS HULU
61;KALIMANTAN BARAT;6107;KAB. BENGKAYANG
61;KALIMANTAN BARAT;6108;KAB. LANDAK
61;KALIMANTAN BARAT;6109;KAB. SEKADAU
61;KALIMANTAN BARAT;6110;KAB. MELAWI
61;KALIMANTAN BARAT;6111;KAB. KAYONG UTARA
61;KALIMANTAN BARAT;6112;KAB. KUBU RAYA
61;KALIMANTAN BARAT;6171;KOTA PONTIANAK
61;KALIMANTAN BARAT;6172;KOTA SINGKAWANG
62;KALIMANTAN TENGAH;6201;KAB. KOTAWARINGIN BARAT
62;KALIMANTAN TENGAH;6202;KAB. KOTAWARINGIN TIMUR
62;KALIMANTAN TENGAH;6203;KAB. KAPUAS
62;KALIMANTAN TENGAH;6204;KAB. BARITO SELATAN
62;KALIMANTAN TENGAH;6205;KAB. BARITO UTARA
62;KALIMANTAN TENGAH;6206;KAB. KATINGAN
62;KALIMANTAN TENGAH;6207;KAB. SERUYAN
62;KALIMANTAN TENGAH;6208;KAB. SUKAMARA
62;KALIMANTAN TENGAH;6209;KAB. LAMANDAU
62;KALIMANTAN TENGAH;6210;KAB. GUNUNG MAS
62;KALIMANTAN TENGAH;6211;KAB. PULANG PISAU
62;KALIMANTAN TENGAH;6212;KAB. MURUNG RAYA
62;KALIMANTAN TENGAH;6213;KAB. BARITO TIMUR
62;KALIMANTAN TENGAH;6271;KOTA PALANGKA RAYA
63;KALIMANTAN SELATAN;6301;KAB. TANAH LAUT
63;KALIMANTAN SELATAN;6302;KAB. KOTABARU
63;KALIMANTAN SELATAN;6303;KAB. BANJAR
63;KALIMANTAN SELATAN;6304;KAB. BARITO KUALA
63;KALIMANTAN SELATAN;6305;KAB. TAPIN
63;KALIMANTAN SELATAN;6306;KAB. HULU SUNGAI SELATAN
63;KALIMANTAN SELATAN;6307;KAB. HULU SUNGAI TENGAH
63;KALIMANTAN SELATAN;6308;KAB. HULU SUNGAI UTARA
63;KALIMANTAN SELATAN;6309;KAB. TABALONG
63;KALIMANTAN SELATAN;6310;KAB. TANAH BUMBU
63;KALIMANTAN SELATAN;6311;KAB. BALANGAN
63;KALIMANTAN SELATAN;6371;KOTA BANJARMASIN
63;KALIMANTAN SELATAN;6372;KOTA BANJARBARU
64;KALIMANTAN TIMUR;6401;KAB. PASER
64;KALIMANTAN TIMUR;6402;KAB. KUTAI KARTANEGARA
64;KALIMANTAN TIMUR;6403;KAB. BERAU
64;KALIMANTAN TIMUR;6407;KAB. KUTAI BARAT
64;KALIMANTAN TIMUR;6408;KAB. KUTAI TIMUR
64;KALIMANTAN TIMUR;6409;KAB. PENAJAM PASER UTARA
64;KALIMANTAN TIMUR;6411;KAB. MAHAKAM ULU
64;KALIMANTAN TIMUR;6471;KOTA BALIKPAPAN
64;KALIMANTAN TIMUR;6472;KOTA SAMARINDA
64;KALIMANTAN TIMUR;6474;KOTA BONTANG
65;KALIMANTAN UTARA;6501;KAB. BULUNGAN
65;KALIMANTAN UTARA;6502;KAB. MALINAU
65;KALIMANTAN UTARA;6503;KAB. NUNUKAN
65;KALIMANTAN UTARA;6504;KAB. TANA TIDUNG
65;KALIMANTAN UTARA;6571;KOTA TARAKAN
71;SULAWESI UTARA;7101;KAB. BOLAANG MONGONDOW
71;SULAWESI UTARA;7102;KAB. MINAHASA
71;SULAWESI UTARA;7103;KAB. KEPULAUAN SANGIHE
71;SULAWESI UTARA;7104;KAB. KEPULAUAN TALAUD
71;SULAWESI UTARA;7105;KAB. MINAHASA SELATAN
71;SULAWESI UTARA;7106;KAB. MINAHASA UTARA
71;SULAWESI UTARA;7107;KAB. MINAHASA TENGGARA
71;SULAWESI UTARA;7108;KAB. BOLAANG MONGONDOW UTARA
71;SULAWESI UTARA;7109;KAB. KEP. SIAU TAGULANDANG BIARO
71;SULAWESI UTARA;7110;KAB. BOLAANG MONGONDOW TIMUR
71;SULAWESI UTARA;7111;KAB. BOLAANG MONGONDOW SELATAN
71;SULAWESI UTARA;7171;KOTA MANADO
71;SULAWESI UTARA;7172;KOTA BITUNG
71;SULAWESI UTARA;7173;KOTA TOMOHON
71;SULAWESI UTARA;7174;KOTA KOTAMOBAGU
72;SULAWESI TENGAH;7201;KAB. BANGGAI
72;SULAWESI TENGAH;7202;KAB. POSO
72;SULAWESI TENGAH;7203;KAB. DONGGALA
72;SULAWESI TENGAH;7204;KAB. TOLI TOLI
72;SULAWESI TENGAH;7205;KAB. BUOL
72;SULAWESI TENGAH;7206;KAB. MOROWALI
72;SULAWESI TENGAH;7207;KAB. BANGGAI KEPULAUAN
72;SULAWESI TENGAH;7208;KAB. PARIGI MOUTONG
72;SULAWESI TENGAH;7209;KAB. TOJO UNA UNA
72;SULAWESI TENGAH;7210;KAB. SIGI
72;SULAWESI TENGAH;7211;KAB. BANGGAI LAUT
72;SULAWESI TENGAH;7212;KAB. MOROWALI UTARA
72;SULAWESI TENGAH;7271;KOTA PALU
73;SULAWESI SELATAN;7301;KAB. KEPULAUAN SELAYAR
73;SULAWESI SELATAN;7302;KAB. BULUKUMBA
73;SULAWESI SELATAN;7303;KAB. BANTAENG
73;SULAWESI SELATAN;7304;KAB. JENEPONTO
73;SULAWESI SELATAN;7305;KAB. TAKALAR
73;SULAWESI SELATAN;7306;KAB. GOWA
73;SULAWESI SELATAN;7307;KAB. SINJAI
73;SULAWESI SELATAN;7308;KAB. BONE
73;SULAWESI SELATAN;7309;KAB. MAROS
73;SULAWESI SELATAN;7310;KAB. PANGKAJENE KEPULAUAN
73;SULAWESI SELATAN;7311;KAB. BARRU
73;SULAWESI SELATAN;7312;KAB. SOPPENG
73;SULAWESI SELATAN;7313;KAB. WAJO
73;SULAWESI SELATAN;7314;KAB. SIDENRENG RAPPANG
73;SULAWESI SELATAN;7315;KAB. PINRANG
73;SULAWESI SELATAN;7316;KAB. ENREKANG
73;SULAWESI SELATAN;7317;KAB. LUWU
73;SULAWESI SELATAN;7318;KAB. TANA TORAJA
73;SULAWESI SELATAN;7322;KAB. LUWU UTARA
73;SULAWESI SELATAN;7324;KAB. LUWU TIMUR
73;SULAWESI SELATAN;7326;KAB. TORAJA UTARA
73;SULAWESI SELATAN;7371;KOTA MAKASSAR
73;SULAWESI SELATAN;7372;KOTA PARE PARE
73;SULAWESI SELATAN;7373;KOTA PALOPO
74;SULAWESI TENGGARA;7401;KAB. KOLAKA
74;SULAWESI TENGGARA;7402;KAB. KONAWE
74;SULAWESI TENGGARA;7403;KAB. MUNA
74;SULAWESI TENGGARA;7404;KAB. BUTON
74;SULAWESI TENGGARA;7405;KAB. KONAWE SELATAN
74;SULAWESI TENGGARA;7406;KAB. BOMBANA
74;SULAWESI TENGGARA;7407;KAB. WAKATOBI
74;SULAWESI TENGGARA;7408;KAB. KOLAKA UTARA
74;SULAWESI TENGGARA;7409;KAB. KONAWE UTARA
74;SULAWESI TENGGARA;7410;KAB. BUTON UTARA
74;SULAWESI TENGGARA;7411;KAB. KOLAKA TIMUR
74;SULAWESI TENGGARA;7412;KAB. KONAWE KEPULAUAN
74;SULAWESI TENGGARA;7413;KAB. MUNA BARAT
74;SULAWESI TENGGARA;7414;KAB. BUTON TENGAH
74;SULAWESI TENGGARA;7415;KAB. BUTON SELATAN
74;SULAWESI TENGGARA;7471;KOTA KENDARI
74;SULAWESI TENGGARA;7472;KOTA BAU BAU
75;GORONTALO;7501;KAB. GORONTALO
75;GORONTALO;7502;KAB. BOALEMO
75;GORONTALO;7503;KAB. BONE BOLANGO
75;GORONTALO;7504;KAB. POHUWATO
75;GORONTALO;7505;KAB. GORONTALO UTARA
75;GORONTALO;7571;KOTA GORONTALO
76;SULAWESI BARAT;7601;KAB. PASANGKAYU
76;SULAWESI BARAT;7602;KAB. MAMUJU
76;SULAWESI BARAT;7603;KAB. MAMASA
76;SULAWESI BARAT;7604;KAB. POLEWALI MANDAR
76;SULAWESI BARAT;7605;KAB. MAJENE
76;SULAWESI BARAT;7606;KAB. MAMUJU TENGAH
81;MALUKU;8101;KAB. MALUKU TENGAH
81;MALUKU;8102;KAB. MALUKU TENGGARA
81;MALUKU;8103;KAB. KEPULAUAN TANIMBAR
81;MALUKU;8104;KAB. BURU
81;MALUKU;8105;KAB. SERAM BAGIAN TIMUR
81;MALUKU;8106;KAB. SERAM BAGIAN BARAT
81;MALUKU;8107;KAB. KEPULAUAN ARU
81;MALUKU;8108;KAB. MALUKU BARAT DAYA
81;MALUKU;8109;KAB. BURU SELATAN
81;MALUKU;8171;KOTA AMBON
81;MALUKU;8172;KOTA TUAL
82;MALUKU UTARA;8201;KAB. HALMAHERA BARAT
82;MALUKU UTARA;8202;KAB. HALMAHERA TENGAH
82;MALUKU UTARA;8203;KAB. HALMAHERA UTARA
82;MALUKU UTARA;8204;KAB. HALMAHERA SELATAN
82;MALUKU UTARA;8205;KAB. KEPULAUAN SULA
82;MALUKU UTARA;8206;KAB. HALMAHERA TIMUR
82;MALUKU UTARA;8207;KAB. PULAU MOROTAI
82;MALUKU UTARA;8208;KAB. PULAU TALIABU
82;MALUKU UTARA;8271;KOTA TERNATE
82;MALUKU UTARA;8272;KOTA TIDORE KEPULAUAN
91;PAPUA;9103;KAB. JAYAPURA
91;PAPUA;9105;KAB. KEPULAUAN YAPEN
91;PAPUA;9106;KAB. BIAK NUMFOR
91;PAPUA;9110;KAB. SARMI
91;PAPUA;9111;KAB. KEEROM
91;PAPUA;9115;KAB. WAROPEN
91;PAPUA;9119;KAB. SUPIORI
91;PAPUA;9120;KAB. MAMBERAMO RAYA
91;PAPUA;9171;KOTA JAYAPURA
92;PAPUA BARAT;9202;KAB. MANOKWARI
92;PAPUA BARAT;9203;KAB. FAK FAK
92;PAPUA BARAT;9206;KAB. TELUK BINTUNI
92;PAPUA BARAT;9207;KAB. TELUK WONDAMA
92;PAPUA BARAT;9208;KAB. KAIMANA
92;PAPUA BARAT;9211;KAB. MANOKWARI SELATAN
